institution,Date,Title,URL,tone,mentions_cooperation,mentions_competition,cooperation_type,thematic_tags,justification,length_words
BIU,12.05.2025 | יד אייר,קרן משפחת אדלסון ובר-אילן מקימות מכון חדשני לחומרים חכמים,https://www.biu.ac.il/article/583488,cooperative,yes,no,industry;inter-university,innovation;smart materials;nanotechnology,The article highlights collaboration between Bar-Ilan University and the Adelson Family Foundation to establish a new research institute.,346
BIU,11.05.2025 | יג אייר,"מקבלי תואר דוקטור לשם כבוד תשפ""ה",https://www.biu.ac.il/article/583481,cooperative,yes,no,none,awards;recognition;academic_contributions;Israeli_culture,The article highlights the awarding of honorary doctorates which includes various notable figures and cooperation with external entities.,449
BIU,05.05.2025 | ז אייר,החדשנות שמניעה את עולם המחקר,https://www.biu.ac.il/article/583458,competitive,no,yes,none,innovation;awards;academic achievements,The article emphasizes the awarding of prestigious prizes to researchers for their groundbreaking achievements.,1023
BIU,29.04.2025 | א אייר,מגן שר הביטחון הוענק לבר-אילן על תמיכתה במשרתי המילואים,https://www.biu.ac.il/article/583434,competitive,no,yes,none,awards;military support;scholarships,The article emphasizes the university receiving a national award and recognition for its unique program supporting reservists.,230
BIU,22.04.2025 | כד ניסן,"""תלמידים הולכים לאיבוד בטקסים הגדולים"": זיכרון השואה בצל המלחמה",https://www.biu.ac.il/article/583404,neutral,no,no,none,education;holocaust;pedagogy,No signs of competition or collaboration were found.,470
BIU,20.04.2025 | כב ניסן,"מזיקים, סכסוכים ומכורים - כך הפכנו לחוקרות ולחוקרים",https://www.biu.ac.il/article/583392,neutral,no,no,none,personal development;academic careers;research fields,No signs of competition or collaboration were found.,949
BIU,09.04.2025 | יא ניסן,דימות רפואי: הטכנולוגיה שמאחורי האבחון המציל חיים,https://www.biu.ac.il/article/583384, 'An existing connection was forcibly closed by the remote host', None,10054, None))],ERR,ERR,161
BIU,20.03.2025 | כ אדר,המדענית שמובילה את הרפואה בגליל,https://www.biu.ac.il/article/583312,cooperative,yes,no,inter-university,medicine;research;collaboration;regional development;genetic diseases;education,The article emphasizes collaboration between researchers and physicians and the establishment of research centers.,551
BIU,17.03.2025 | יז אדר,לצלול למסתורין של המוח האנושי - ולשנות חיים,https://www.biu.ac.il/article/583284,neutral,no,no,none,neuroscience;education;innovation,No signs of competition or collaboration were found.,244
BIU,17.03.2025 | יז אדר,לעזור למתמודדים עם לקויות למידה ולחולל שינוי בחינוך,https://www.biu.ac.il/article/583283,cooperative,yes,no,none,education;learning_disabilities;professional_training,The article highlights a program aimed at training professionals to collaboratively support students with learning disabilities.,285
BIU,17.03.2025 | יז אדר,"כוח החוק, לב החברה: התוכנית המשולבת ללימודי משפטים ועבודה סוציאלית",https://www.biu.ac.il/article/583282,cooperative,yes,no,inter-university,law;social work;education;social justice,The article describes a joint program combining law and social work to address social challenges.,362
BIU,17.03.2025 | יז אדר,לימודי תקשורת: להבין את המדיה לעצב את המציאות,https://www.biu.ac.il/article/583281,neutral,no,no,none,education;program details;media studies,No signs of competition or collaboration were found.,276
BIU,17.03.2025 | יז אדר,עיבוד נתונים ו-AI: השילוב בין שני ראשי החץ של התעשייה,https://www.biu.ac.il/article/583279,competitive,no,yes,none,artificial intelligence;data science;higher education,The article emphasizes the uniqueness and leadership of the master's program.,263
BIU,17.03.2025 | יז אדר,ניהול טכנולוגיה: השילוב המנצח של יכולת ניהול והבנה טכנולוגית,https://www.biu.ac.il/article/583277,competitive,no,yes,none,technology management;higher education;innovation,The article emphasizes the uniqueness and demand for the program in the global tech industry.,254
BIU,17.03.2025 | יז אדר,מהפכת המידע: להבין את ההווה ולעצב את העתיד,https://www.biu.ac.il/article/583276,mixed,yes,yes,international,education;technology;digital_transformation;social_impact,The article highlights both a unique study program and its international research partnerships.,283
BIU,16.03.2025 | טז אדר,ביוטכנולוגיה - פיתוח תרופות חדשניות ופתרונות רפואיים מתקדמים,https://www.biu.ac.il/article/583275,neutral,no,no,none,education;biotechnology,No signs of competition or collaboration were found.,287
BIU,09.03.2025 | ט אדר,פורים: ההומור היהודי ככלי להישרדות,https://www.biu.ac.il/article/583236,mixed,yes,yes,inter-university;international,cultural history;Jewish identity;humor studies;tradition;resilience,The article discusses both the collaborative cultural resilience of Jewish communities and the competitive elements of Jewish humor as a means of survival and defiance.,615
BIU,06.03.2025 | ו אדר,מהפכניות המדע: החוקרות שהשפיעו על ההיסטוריה,https://www.biu.ac.il/article/583235,neutral,no,no,none,history;science;women,"""No signs of competition or collaboration were found.""",587
BIU,05.03.2025 | ה אדר,מעצבות מציאות חדשה: איך להגדיל את מספר הנשים בעמדות בכירות באקדמיה,https://www.biu.ac.il/article/583229,cooperative,yes,no,inter-university,gender equality;women in academia;organizational culture,The article highlights cooperative efforts and strategic programs for gender equality involving partnerships with other universities.,667
BIU,04.03.2025 | ד אדר,"רואים רחוק, משפיעים קרוב",https://www.biu.ac.il/article/583224,mixed,yes,yes,inter-university;industry;international,research;innovation;community engagement;education,The article highlights both the cooperative partnerships with international institutions and competitive innovation in research and technology.,1063
BIU,27.02.2025 | כט שבט,האולימפיאדה ה-28 בביולוגיה: הדור הבא של המדענים,https://www.biu.ac.il/article/583213,competitive,no,yes,none,biology;student_competition;education,The article emphasizes achievements in student research and awards.,206
BIU,16.02.2025 | יח שבט,לא מחכים לסיום התואר: בבר-אילן בונים לך קריירה כבר בזמן הלימודים,https://www.biu.ac.il/article/583115,mixed,yes,yes,inter-university;industry;international,career preparation;AI;student support;international exposure;innovation;expansion,The article highlights both the university's collaboration with LinkedIn Learning and its status as the fastest-growing university in Israel.,339
BIU,13.02.2025 | טו שבט,מצוינות בהוראה בפעולה,https://www.biu.ac.il/article/583111,competitive,no,yes,none,teaching excellence;technological integration;curriculum adaptation,The article emphasizes achievements and innovations in teaching,440
BIU,09.02.2025 | יא שבט,בבר-אילן הירוק הוא הרבה יותר מדשא,https://www.biu.ac.il/article/583062,mixed,yes,yes,inter-university;industry;international,clean energy;environmental sustainability;collaboration;innovation;climate change;regulation,The article discusses both collaborative environmental projects and award recognition for campus sustainability efforts.,622
BIU,04.02.2025 | ו שבט,טיפול בנידוי חברתי בקרב ילדים,https://www.biu.ac.il/article/583047,mixed,yes,yes,academic;child development;psychology;education,The article discusses a collaborative treatment program with competitive elements such as innovative research and proven success.,ERR,369
BIU,26.01.2025 | כו טבת,הכוח להחלים: כשטכנולוגיה חכמה פוגשת מוטיבציה אנושית,https://www.biu.ac.il/article/582990,cooperative,yes,no,international,healthcare;innovation;digital health,The article highlights international collaboration involving six countries and major pharmaceutical companies.,230
BIU,26.01.2025 | כו טבת,"פרופ' שולמית מיכאלי מונתה לחברה בות""ת",https://www.biu.ac.il/article/582989,neutral,no,no,none,appointments;higher education,No signs of competition or collaboration were found.,172
BIU,07.02.2025 | ט שבט,בין המארבים למבחנים - ממשיכים בלימודים,https://www.biu.ac.il/article/582970,cooperative,yes,no,inter-university,military support;academic support;mental health support;student life,The article highlights comprehensive support from the university for students in military reserve duty.,545
BIU,16.01.2025 | טז טבת,"""תודה שעזרתם לשמור על רצף הלימודים""",https://www.biu.ac.il/article/582900,cooperative,yes,no,inter-university,support for reserve students;special accommodations;student feedback;personalized sessions,The article highlights the university's efforts to accommodate and support reserve duty students through personalized and cooperative initiatives.,560
BIU,08.01.2025 | ח טבת,מלגו ועד קוונטים: איך הפכנו לחוקרים,https://www.biu.ac.il/article/582837,cooperative,yes,no,inter-university,academia;research;personal journey,The article emphasizes collaboration and shared academic experiences at open days.,704
BIU,05.01.2025 | ה טבת,פנומנולוגיה: הגישה הפילוסופית להבנת האנושות,https://www.biu.ac.il/article/582819,neutral,no,no,none,philosophy;phenomenology;subjective_experience,"""The article is informative about phenomenology",366
BIU,05.01.2025 | ה טבת,מס פחמן: הכלי הכלכלי להתמודדות עם משבר האקלים,https://www.biu.ac.il/article/582817,neutral,no,no,none,environment;policy;economics,No signs of competition or collaboration were found.,360
BIU,02.01.2025 | ב טבת,זוגיות בצל המלחמה: דווקא תקשורת חיובית עשויה לפגוע במצב הנפשי,https://www.biu.ac.il/article/582814,neutral,no,no,none,mental health;couples communication;war,The article reports on research findings without indicating competition or collaboration.,299
BIU,29.12.2024 | כח כסלו,משלימים חוסרים: מרתון לימודים למשרתי ומשרתות המילואים,https://www.biu.ac.il/article/582794,neutral,yes,no,none;student_support,The article describes supportive activities without indicating competition or partnership.,ERR,163
BIU,25.12.2024 | כד כסלו,מכיפת ברזל ועד מערכת החץ,https://www.biu.ac.il/article/582780,competitive,no,yes,none,defense;innovation;awards,The article emphasizes the prestigious lifetime achievement award and multiple recognitions for innovation in defense.,366
BIU,23.12.2024 | כב כסלו,מסביב לעולם בעקבות הסופגנייה,https://www.biu.ac.il/article/582767,neutral,no,no,none,cultural history;food traditions,No signs of competition or collaboration were found.,423
BIU,19.12.2024 | יח כסלו,תערוכה: גיבורות חרבות ברזל,https://www.biu.ac.il/article/582750,cooperative,yes,no,inter-university;industry,exhibition;art;women empowerment;war stories,The article emphasizes collaboration between different sectors and academic involvement in the exhibition.,337
BIU,09.12.2024 | ח כסלו,איך להגיע לצמרת המנהלים העולמית,https://www.biu.ac.il/article/582657,competitive,no,yes,none,awards;business;leadership;education,The article emphasizes the prestigious international competition and the unique achievements of a student.,321
BIU,09.12.2024 | ח כסלו,פרופ' עמרי קורן - מהחוקרים המצוטטים בעולם,https://www.biu.ac.il/article/582662,competitive,no,yes,none,research;recognition;microbiome,The article emphasizes the professor's ranking among the most cited researchers,356
BIU,09.12.2024 | ח כסלו,המכשפה: מדמות מרושעת למודל העצמה,https://www.biu.ac.il/article/582658,neutral,no,no,none,childrens_literature;character_analysis;literary_evolution,No signs of competition or collaboration were found.,420
BIU,09.12.2024 | ח כסלו,הנסיכה בספרות הילדים: בין פנטזיה למציאות,https://www.biu.ac.il/article/582653,neutral,no,no,none,literature;gender studies;social change,No signs of competition or collaboration were found.,370
BIU,25.11.2024 | כד חשון,משקפי מציאות מדומה ליד ספת הפסיכולוג,https://www.biu.ac.il/article/582562,neutral,no,no,none,technology;mental health;virtual reality,No signs of competition or collaboration were found.,253
BIU,14.11.2024 | יג חשון,32 מלגות הוענקו למילואימניקים בפקולטה להנדסה,https://www.biu.ac.il/article/582485,cooperative,yes,no,industry,scholarships;military;community involvement;innovation;challenges,The article emphasizes cooperation by highlighting the joint effort between the university and companies to support students.,331
BIU,17.11.2024 | טז חשון,טראומה לאומית: איך קמים אחרי השבר?,https://www.biu.ac.il/article/582490,neutral,no,no,none,trauma;psychological support;post-traumatic growth,No signs of competition or collaboration were found.,393
BIU,14.11.2024 | יג חשון,שגרת לימודים תחת טילים,https://www.biu.ac.il/article/582486,mixed,yes,yes,inter-university;international,higher education;medicine;innovation;community engagement;security challenges,The article highlights both the innovative educational programs and the challenges faced due to security issues.,240
BIU,14.11.2024 | יג חשון,מהפכת הבריאות בצפון: ירידה משמעותית בתחלואת הסוכרת,https://www.biu.ac.il/article/582464,cooperative,yes,no,government;inter-university;community,medicine;public health;collaboration,The article highlights collaboration with government and local authorities for a health initiative.,351
BIU,06.11.2024 | ה חשון,קורסים מקוונים לקהל הרחב,https://www.biu.ac.il/article/582432,neutral,no,no,none,education;online learning;courses,No signs of competition or collaboration were found.,559
BIU,12.11.2024 | יא חשון,מהפכת הטיפול בסוכרת: מאינסולין ועד תאי בטא מלאכותיים,https://www.biu.ac.il/article/582459,cooperative,yes,no,inter-university,medicine;research;innovation,The article highlights cooperation between Bar-Ilan University and Tel Aviv University for diabetes research.,464
BIU,11.11.2024 | י חשון,מקדמים מצוינות בינלאומית בחקר המוח,https://www.biu.ac.il/article/582452,mixed,yes,yes,inter-university;international,international collaboration;research;innovation;education,The article highlights both international cooperation in the joint program and a prestigious grant that demonstrates competition.,227
BIU,10.11.2024 | ט חשון,כך נראית המלחמה בעיניים שלנו,https://www.biu.ac.il/article/582445,cooperative,yes,no,inter-university,art;resilience;community,The article highlights a collaborative effort to organize an art exhibition involving academic staff and students.,142
BIU,05.11.2024 | ד חשון,עלייה במספר הסטודנטים העולים,https://www.biu.ac.il/article/582428,neutral,yes,no,international,immigrant absorption;academic programs;language integration,The article is informative about new student programs without competitive or cooperative tones.,314
BIU,03.11.2024 | ב חשון,שותפויות בינלאומיות יסייעו בהקטנת פערי הבריאות בפריפריה,https://www.biu.ac.il/article/582405,cooperative,yes,no,international,healthcare;international collaboration;innovation,The article emphasizes international collaboration and partnerships in healthcare.,360
BIU,05.11.2024 | ד חשון,המפתח לחדשנות טכנולוגית: שיתוף פעולה עם התעשייה,https://www.biu.ac.il/article/582425,cooperative,yes,no,industry,innovation;nanotechnology;collaboration;challenges,The article highlights collaboration with industry,321
BIU,03.11.2024 | ב חשון,עתיד הרפואה בתלת מימד,https://www.biu.ac.il/article/582402,neutral,yes,no,industry,technology;medical innovations,The article discusses technological advancements in medicine without highlighting competition or partnerships.,429
BIU,03.11.2024 | ב חשון,הדור הבא של הטיפולים הגנטיים,https://www.biu.ac.il/article/582401,neutral,no,no,none,research;RNA;medicine,No signs of competition or collaboration were found.,317
BIU,03.11.2024 | ב חשון,תפקיד חדש באוניברסיטה: סגן נשיא לקשרי תעשייה,https://www.biu.ac.il/article/582399,mixed,yes,yes,industry;inter-university;international,academic-industry partnerships;innovation;rankings;technology advancement;employment,The article highlights both industry cooperation initiatives and international ranking ambitions.,344
BIU,29.10.2024 | כז תשרי,למצוא משמעות בצל הטראומה הלאומית,https://www.biu.ac.il/article/582368,neutral,no,no,none,psychological coping;collective identity;trauma response,The article is informative about research on coping mechanisms without highlighting competition or cooperation.,409
BIU,14.10.2024 | יב תשרי,מתווה האפוד האקדמי למשרתי ומשרתות המילואים,https://www.biu.ac.il/article/582314,neutral,no,yes,none,support;scholarships;innovation;mental_health,The article focuses on internal academic support and benefits without mentioning collaboration.,266
BIU,13.10.2024 | יא תשרי,משפיע על החינוך באמצעות שאלות של זהות אישית,https://www.biu.ac.il/article/582303,mixed,yes,yes,inter-university;international,identity;education;teacher influence;psychology,The article discusses both cooperative efforts in educational methods and international recognition of research achievements.,338
BIU,13.10.2024 | יא תשרי,הכירו את בר-מוח - עוזר הוראה מבוסס AI,https://www.biu.ac.il/article/582302,mixed,yes,yes,industry;education;AI integration,The article mentions both cooperation in developing the AI tool and competition by highlighting the university's global leadership in AI research.,ERR,457
BIU,13.10.2024 | יא תשרי,למה המחירים רק עולים?,https://www.biu.ac.il/article/582301,neutral,no,no,none,economy;inflation;consumer behavior,No signs of competition or collaboration were found.,385
BIU,13.10.2024 | יא תשרי,אקדמיה לאנשים עם מוגבלות שכלית,https://www.biu.ac.il/article/582299,cooperative,yes,no,industry;inter-university;international,special education;academic integration;disability rights,"The article emphasizes collaboration in developing the unique ""Otzmot"" program for academic integration.",417
BIU,07.10.2024 | ה תשרי,טקס הזיכרון לציון שנה לשבעה באוקטובר,https://www.biu.ac.il/article/582259,mixed,yes,no,none,memorial;community;resilience,The article includes expressions of unity and remembrance without explicitly mentioning competition.,792
BIU,06.10.2024 | ד תשרי,מעניקה תקווה וכוח לניצולי ה-7 באוקטובר,https://www.biu.ac.il/article/582240,mixed,yes,yes,inter-university;international,psychology;resilience;gender studies;trauma;rehabilitation,The article includes both collaboration in rehabilitation efforts and recognition through awards and public appearances.,760
BIU,29.09.2024 | כו אלול,האם מחירי הדירות ימשיכו לעלות?,https://www.biu.ac.il/article/582218,neutral,no,no,none,housing market;economic trends;government policy;real estate,No signs of competition or collaboration were found.,418
BIU,18.09.2024 | טו אלול,מלחמת העולם השלישית כבר כאן?,https://www.biu.ac.il/article/582162,neutral,no,no,none,global issues;geopolitics;education,No signs of competition or collaboration were found.,413
BIU,12.09.2024 | ט אלול,יום הכנה לקריירה לסטודנטים לתואר ראשון,https://www.biu.ac.il/article/582131,cooperative,yes,no,industry;career development;networking,The article highlights collaboration between the university and employment centers for student career preparation.,ERR,131
BIU,10.09.2024 | ז אלול,"77 מחוקרי בר-אילן זכו במענקי ISF בתשפ""ד",https://www.biu.ac.il/article/582122,competitive,no,yes,none,grants;research excellence;innovation,The article emphasizes the researchers winning prestigious ISF grants highlighting their achievements and research excellence.,1375
BIU,08.09.2024 | ה אלול,איזו סכנה מסתורית מסתתרת באגמי אפריקה?,https://www.biu.ac.il/article/582109,mixed,yes,yes,international;industry,environment;volcanology;public safety;renewable energy,The article discusses both scientific collaboration and risk mitigation projects along with innovative energy initiatives.,478
BIU,05.09.2024 | ב אלול,מי אחראי לספק אנרגיה לרצועת עזה?,https://www.biu.ac.il/article/582107,neutral,no,no,none,energy;humanitarian;conflict resolution,No signs of competition or collaboration were found.,413
BIU,01.09.2024 | כח אב,מערכת החינוך זקוקה למומחים ולא ל'טאלנטים',https://www.biu.ac.il/article/581805,neutral,no,yes,none,education;policy;teacher shortages;privatization,The article criticizes a policy without highlighting cooperation or collaborative efforts.,457
BIU,29.08.2024 | כה אב,איך הטכנולוגיה משפיעה על האנושיות,https://www.biu.ac.il/article/581803,neutral,no,no,none,technology;privacy;ethics,No signs of competition or collaboration were found.,382
BIU,27.08.2024 | כג אב,לימודי ארץ ישראל וארכאולוגיה: חדשנות בחקר העבר,https://www.biu.ac.il/article/581794,cooperative,yes,no,inter-university;industry,history;archaeology;education;technology,The article emphasizes collaboration with various institutes and innovative teaching methods.,325
BIU,26.08.2024 | כב אב,מפתחת אמצעים לטיפול במחלות עור דלקתיות,https://www.biu.ac.il/article/581783,competitive,no,yes,none,awards;research;career,The article emphasizes Dr. Guttman-Yassky's recognition and achievements in the field,254
BIU,26.08.2024 | כב אב,לרתום את הידע האקדמי לסיוע לנשים בסיכון,https://www.biu.ac.il/article/581781,cooperative,yes,no,industry,social support;gender studies;trauma,The article emphasizes the establishment of an organization providing collaborative support for individuals in prostitution.,453
BIU,25.08.2024 | כא אב,ב-26.8 חוזרים ללימודים ולמבחנים כרגיל,https://www.biu.ac.il/article/581774,neutral,no,no,none,none,ERR,35
BIU,22.08.2024 | יח אב,לימודי מזרח אסיה – הכנה לקריירה בזירה הגלובלית,https://www.biu.ac.il/article/581770,neutral,no,no,none,academics;languages;multidisciplinary,The article is informational,311
BIU,22.08.2024 | יח אב,למה כדאי ללמוד לתואר שני בתחום חדש?,https://www.biu.ac.il/article/581769,cooperative,no,no,none,higher education;career development;graduate studies,The article discusses various master's programs focusing on educational and career opportunities.,698
BIU,22.08.2024 | יח אב,אפשרויות חדשות לפיתוח חיסון נגד וירוס הפטיטיס C,https://www.biu.ac.il/article/581768,research,yes,no,industry;international,Liver disease;epigenetics;vaccine development,The article focuses on collaborative research with significant findings in disease understanding and treatment potential.,373
BIU,15.08.2024 | יא אב,מגמה חדשה וראשונה מסוגה בישראל: אחריות תאגידית,https://www.biu.ac.il/article/581749,cooperative,yes,yes,industry,ESG;higher education;corporate responsibility;climate change;governance;international cooperation,The article discusses a collaborative initiative between Bar-Ilan University and industry leaders for a unique program.,579
BIU,31.07.2024 | כה תמוז,מגויסת למילואים ולמקצוע הרפואה,https://www.biu.ac.il/article/581693,mixed,yes,no,inter-university;military commitment,education;personal stories;challenges,The article highlights both the cooperative support from her university and the individual challenge she faced balancing studies and military service.,258
BIU,29.07.2024 | כג תמוז,לרתום את ה-AI לצמצום נזקי ההדברה הכימית,https://www.biu.ac.il/article/581679,neutral,yes,no,industry,entrepreneurship;innovation,The article highlights the establishment of a startup from Bar-Ilan University without a competitive angle.,402
BIU,25.07.2024 | יט תמוז,"""אני תושב גאה של הגליל ואשאר כאן""",https://www.biu.ac.il/article/581666,neutral,no,no,none,career change;medicine;pharmacy,The article focuses on an individual's career journey without highlighting competition or cooperation.,227
BIU,25.07.2024 | יט תמוז,שושלות הקיסרים ברומא העתיקה – כיצד נוצר מעמד הקיסרות,https://www.biu.ac.il/article/581665,neutral,no,no,none,history;mythology,The article provides historical information without emphasizing competition or collaboration.,415
BIU,25.07.2024 | יט תמוז,שואפת לצמצם את הפערים בין הפריפריה למרכז,https://www.biu.ac.il/article/581664,cooperative,yes,no,inter-university;industry,medicine;research;community engagement;healthcare,The article highlights joint research projects and community involvement.,316
BIU,25.07.2024 | יט תמוז,איך לימודי היסטוריה יכולים להכין אותך לעתיד?,https://www.biu.ac.il/article/581663,neutral,no,no,none,education;career;history,The article emphasizes the benefits of studying history without highlighting competition or collaboration.,515
BIU,25.07.2024 | יט תמוז,שושלות הקיסרים ברומא העתיקה – השושלת היוליו-קלאודית,https://www.biu.ac.il/article/581661,neutral,no,no,none,none,ERR,331
BIU,24.07.2024 | יח תמוז,טכנולוגיה מבוססת AI מסייעת בהוראת האופטומטריה,https://www.biu.ac.il/article/581655,cooperative,yes,no,industry,technology;education;innovation,The article highlights a partnership with a tech company to innovate student training using AI.,209
BIU,23.07.2024 | יז תמוז,הפתרונות למשברים העולמיים ייצאו ממעבדות המחקר,https://www.biu.ac.il/article/581646,cooperative,yes,no,international,collaboration;research;innovation;science,The article highlights various collaborations and their impact on both Israel and the global community.,510
BIU,23.07.2024 | יז תמוז,"""נוכחותה הגוברת של התקשורת בחיינו מקנה לה חשיבות רבה""",https://www.biu.ac.il/article/581645,cooperative,yes,no,inter-university,education;communication;social science,The article highlights collaboration and support among students and faculty during challenging times.,308
BIU,23.07.2024 | יז תמוז,מדעי המחשב: הדרך אל העתיד,https://www.biu.ac.il/article/581642,mixed,yes,yes,industry;academic excellence;innovative facilities,The article highlights both collaboration with industry and academic excellence in various fields.,ERR,396
BIU,21.07.2024 | טו תמוז,"זינוק של 140% בגילויי האנטישמיות בארה""ב",https://www.biu.ac.il/article/581629,mixed,yes,no,inter-university;international,antisemitism;violence;tolerance;cooperation,The article discusses both the rise in antisemitism and cooperative efforts to combat it.,295
BIU,21.07.2024 | טו תמוז,שיאה של השנה האקדמית: הענקת התארים,https://www.biu.ac.il/article/581628,mixed,yes,no,inter-university;industry,graduation;inclusion;unity;memorials;war,The article highlights both the emotional collective graduation ceremonies and the unique inclusion initiative which implies collaboration,549
BIU,16.07.2024 | י תמוז,תואר דו-חוגי: הרחיבו את הידע וההזדמנויות,https://www.biu.ac.il/article/581613,cooperative,yes,no,inter-university;industry;international,education;innovation;interdisciplinarity;employment,The article highlights interdisciplinary programs that emphasize collaboration and broad knowledge acquisition.,632
BIU,15.07.2024 | ט תמוז,מדעי המדינה: הכוחות המשפיעים על עולמנו,https://www.biu.ac.il/article/581590,competitive,no,yes,none,political science;education;career opportunities,The article emphasizes high teaching ratings and awards for the department.,341
BIU,08.02.2025 | י שבט,"להתכונן למקצועות המחר, היום",https://www.biu.ac.il/article/581589,cooperative,yes,no,industry,education;career trends;innovation,The article emphasizes cooperation with businesses and highlights programs that prepare students for future careers.,745
BIU,15.07.2024 | ט תמוז,"""מחקר רפואי יכול להשפיע על מטופלים למשך דורות""",https://www.biu.ac.il/article/581587,mixed,yes,yes,inter-university;industry;international,higher education;medical studies;personal development;research,The article highlights participation in an MD-PhD program (cooperation) and individual excellence (competition).,263
BIU,15.07.2024 | ט תמוז,סיפורו של איש העסקים והדיפלומט איזי ליבלר,https://www.biu.ac.il/article/581586,neutral,no,no,none,biography;Jewish studies;diplomacy,No signs of competition or collaboration were found.,384
BIU,14.07.2024 | ח תמוז,לימודי פסיכולוגיה: הבנת הנפש והמוח דרך מחקר מתקדם,https://www.biu.ac.il/article/581582,neutral,no,no,none,psychology;education;career development,No signs of competition or collaboration were found.,305
BIU,14.07.2024 | ח תמוז,עבודה סוציאלית: לשנות חיים ולהשפיע כל יום,https://www.biu.ac.il/article/581581,neutral,no,no,none,education;career opportunities,"""No signs of competition or collaboration were found.""",274
BIU,14.07.2024 | ח תמוז,מנהל עסקים: תואר שמקדם לך את הקריירה,https://www.biu.ac.il/article/581580,mixed,yes,yes,inter-university;industry,business administration;education;AI;career development;internationalization,The article emphasizes both the unique competitive aspects and collaborative elements of the program.,288
BIU,11.07.2024 | ה תמוז,מדעי הנתונים: לצפות את העתיד ולפתחו,https://www.biu.ac.il/article/581574,neutral,no,no,none,data science;education;technology,No signs of competition or collaboration were found.,304
BIU,11.07.2024 | ה תמוז,לימודי מדעי המוח: לפענח את הקוגניציה האנושית,https://www.biu.ac.il/article/581573,mixed,yes,yes,inter-university,neuroscience;education;research cooperation;technological applications;medical advancements,The article highlights Bar-Ilan University's pioneering role in neuroscience education and also mentions competitive elements like being the first in the field.,330
BIU,11.07.2024 | ה תמוז,הנדסת חשמל: מפתחים את הטכנולוגיות של העתיד,https://www.biu.ac.il/article/581572,neutral,no,no,none,education;curriculum;innovation,No signs of competition or collaboration were found.,278
BIU,11.07.2024 | ה תמוז,לימודי אופטומטריה: לרתום את הטכנולוגיה לשיפור הראייה,https://www.biu.ac.il/article/581571,neutral,no,no,none,education;career opportunities,No signs of competition or collaboration were found.,324
BIU,11.07.2024 | ה תמוז,תואר ראשון לסטודנטים עם מוגבלות שכלית,https://www.biu.ac.il/article/581564,competitive,no,yes,none,education;diversity;achievement,The article emphasizes the uniqueness and groundbreaking achievement of students with cognitive diversity receiving a degree for the first time in Israel.,574
BIU,04.07.2024 | כח סיון,134 רופאים ורופאות בוגרי בר-אילן קיבלו תואר MD,https://www.biu.ac.il/article/581523,mixed,yes,yes,inter-university,medical education;community engagement;regional development,The article highlights collaboration with regional hospitals and excellence in medical education.,241
